,CNES,TPGESTAO,SGRUPHAB
593,2219646,Estadual,1718
594,2219646,Municipal,1701
595,2219646,Municipal,1707
596,2219646,Municipal,1708
597,2219646,Municipal,1718
598,2219646,Municipal,1723
599,2223538,Municipal,1701
600,2223538,Municipal,1707
601,2223538,Municipal,1708
602,2223538,Municipal,1709
603,2223538,Municipal,1718
604,2223538,Municipal,1723
605,2223546,Municipal,1705
606,2223546,Municipal,1706
607,2223546,Municipal,1707
608,2227932,Estadual,1706
609,2227932,Estadual,1723
610,2232014,Municipal,1708
611,2232014,Municipal,1723
612,2232022,Municipal,1701
613,2232022,Municipal,1707
614,2232022,Municipal,1718
615,2232022,Municipal,1723
616,2232057,Estadual,1705
617,2232057,Estadual,1706
618,2232057,Municipal,1706
619,2232995,Dupla,1701
620,2232995,Dupla,1707
621,2232995,Dupla,1708
622,2232995,Estadual,1707
623,2232995,Estadual,1708
624,2232995,Estadual,1723
625,2237253,Municipal,1701
626,2237253,Municipal,1713
627,2237253,Municipal,1717
628,2237571,Municipal,1701
629,2237571,Municipal,1708
630,2237571,Municipal,1709
631,2237571,Municipal,1717
632,2237571,Municipal,1723
633,2237601,Municipal,1701
634,2237601,Municipal,1713
635,2237601,Municipal,1717
636,2237601,Municipal,1719
637,2237601,Municipal,1720
638,2237601,Municipal,1723
639,2241021,Estadual,1701
640,2241021,Estadual,1706
641,2241021,Municipal,1706
642,2241021,Municipal,1707
643,2241021,Municipal,1718
644,2241021,Municipal,1723
645,2244306,Dupla,1701
646,2244306,Dupla,1707
647,2244306,Dupla,1708
648,2244306,Dupla,1709
649,2244306,Estadual,1707
650,2244306,Estadual,1708
651,2244306,Estadual,1709
652,2244357,Dupla,1706
653,2246929,Dupla,1706
654,2246929,Dupla,1708
655,2246929,Dupla,1718
656,2246929,Estadual,1706
657,2246929,Estadual,1718
658,2246929,Estadual,1723
659,2246988,Dupla,1701
660,2246988,Dupla,1704
661,2246988,Dupla,1707
662,2246988,Dupla,1708
663,2246988,Dupla,1709
664,2246988,Dupla,1717
665,2246988,Estadual,1707
666,2246988,Estadual,1708
667,2246988,Estadual,1709
668,2246988,Estadual,1717
669,2248190,Dupla,1701
670,2248190,Dupla,1707
671,2248190,Estadual,1707
672,2248190,Estadual,1723
673,2248204,Dupla,1706
674,2248204,Estadual,1706
675,2248204,Estadual,1723
676,2252287,Estadual,1701
677,2252287,Estadual,1704
678,2252287,Estadual,1707
679,2252287,Estadual,1708
680,2252287,Estadual,1718
681,2252287,Municipal,1707
682,2252287,Municipal,1708
683,2252287,Municipal,1718
684,2252694,Municipal,1705
685,2252694,Municipal,1707
686,2252694,Municipal,1708
687,2253054,Municipal,1704
688,2253054,Municipal,1707
689,2253054,Municipal,1708
690,2253054,Municipal,1723
691,2254611,Municipal,1701
692,2254611,Municipal,1707
693,2254611,Municipal,1708
694,2254611,Municipal,1723
695,2255936,Municipal,1701
696,2255936,Municipal,1706
697,2255936,Municipal,1707
698,2255936,Municipal,1718
699,2255936,Municipal,1723
700,2259907,Dupla,1706
701,2261057,Dupla,1701
702,2261057,Dupla,1712
703,2261057,Dupla,1717
704,2261057,Dupla,1718
705,2261057,Estadual,1712
706,2261057,Estadual,1717
707,2261057,Estadual,1723
708,2261987,Dupla,1706
709,2261987,Estadual,1706
710,2261987,Estadual,1707
711,2261987,Estadual,1723
712,2262274,Municipal,1701
713,2262274,Municipal,1706
714,2262568,Municipal,1701
715,2262568,Municipal,1707
716,2262568,Municipal,1708
717,2262568,Municipal,1709
718,2262568,Municipal,1717
719,2262568,Municipal,1718
720,2262568,Municipal,1723
721,2263858,Dupla,1708
722,2263858,Estadual,1708
723,2263858,Estadual,1723
724,2265052,Municipal,1701
725,2265052,Municipal,1706
726,2265052,Municipal,1718
727,2265052,Municipal,1719
728,2265052,Municipal,1720
729,2265052,Municipal,1723
730,2266474,Municipal,1701
731,2266474,Municipal,1706
732,2268779,Municipal,1704
733,2268779,Municipal,1705
734,2268779,Municipal,1706
735,2268779,Municipal,1715
736,2269384,Municipal,1701
737,2269384,Municipal,1706
738,2269384,Municipal,1723
739,2269422,Municipal,1704
740,2269783,Estadual,1707
741,2269783,Estadual,1708
742,2269783,Estadual,1718
743,2269783,Municipal,1701
744,2269783,Municipal,1707
745,2269783,Municipal,1708
746,2269783,Municipal,1718
747,2269821,Municipal,1703
748,2269821,Municipal,1706
749,2269821,Municipal,1713
750,2269821,Municipal,1717
751,2269880,Municipal,1701
752,2269880,Municipal,1706
753,2269880,Municipal,1708
754,2269880,Municipal,1723
755,2269899,Estadual,1707
756,2269899,Estadual,1718
757,2269899,Municipal,1702
758,2269899,Municipal,1707
759,2269899,Municipal,1717
760,2269899,Municipal,1718
761,2269988,Municipal,1707
762,2269988,Municipal,1708
763,2269988,Municipal,1709
764,2269988,Municipal,1723
765,2273454,Municipal,1703
766,2273454,Municipal,1713
767,2273454,Municipal,1714
768,2273454,Municipal,1717
769,2273454,Municipal,1722
770,2273462,Municipal,1703
771,2273462,Municipal,1707
772,2273462,Municipal,1713
773,2273462,Municipal,1717
774,2273659,Municipal,1709
775,2273659,Municipal,1723
776,2273748,Municipal,1706
777,2273748,Municipal,1708
778,2273748,Municipal,1723
779,2275562,Municipal,1706
780,2275562,Municipal,1715
781,2278286,Dupla,1706
782,2278286,Municipal,1706
783,2278286,Municipal,1707
784,2278855,Estadual,1706
785,2278855,Estadual,1707
786,2278855,Estadual,1708
787,2278855,Estadual,1709
788,2278855,Municipal,1701
789,2278855,Municipal,1706
790,2278855,Municipal,1707
791,2278855,Municipal,1708
792,2278855,Municipal,1709
793,2280051,Municipal,1706
794,2280051,Municipal,1707
795,2280051,Municipal,1708
796,2280167,Municipal,1701
797,2280167,Municipal,1707
798,2280167,Municipal,1708
799,2280167,Municipal,1712
800,2280167,Municipal,1723
801,2287250,Dupla,1706
802,2287250,Municipal,1706
803,2287285,Dupla,1707
804,2287285,Estadual,1701
805,2287285,Estadual,1707
806,2287285,Municipal,1707
807,2287447,Dupla,1706
808,2287447,Municipal,1706
809,2287447,Municipal,1707
810,2292386,Municipal,1705
811,2292386,Municipal,1706
812,2295067,Estadual,1710
813,2295067,Municipal,1701
814,2295067,Municipal,1710
815,2295415,Municipal,1701
816,2295415,Municipal,1706
817,2295415,Municipal,1723
818,2295423,Municipal,1706
819,2296241,Municipal,1706
820,2296616,Municipal,1701
821,2296616,Municipal,1711
822,2301318,Dupla,1706
823,2301318,Dupla,1723
824,2301318,Municipal,1706
825,2306336,Dupla,1706
826,2306336,Municipal,1706
827,2306336,Municipal,1707
828,2315793,Municipal,1701
829,2315793,Municipal,1707
830,2319659,Estadual,1706
831,2332981,Municipal,1706
832,2332981,Municipal,1723
833,2334321,Estadual,1713
834,2334321,Estadual,1717
835,2334321,Estadual,1723
836,2334321,Municipal,1701
837,2334321,Municipal,1713
838,2334321,Municipal,1717
839,2338351,Municipal,1701
840,2338351,Municipal,1706
841,2338351,Municipal,1707
842,2338351,Municipal,1708
843,2338351,Municipal,1717
844,2338351,Municipal,1718
845,2338424,Municipal,1701
846,2338424,Municipal,1706
847,2338424,Municipal,1708
848,2339099,Municipal,1705
849,2361787,Municipal,1706
850,2371375,Municipal,1701
851,2371375,Municipal,1705
852,2371375,Municipal,1707
853,2371707,Dupla,1706
854,2376334,Municipal,1706
855,2384299,Dupla,1701
856,2384299,Dupla,1708
857,2384299,Dupla,1709
858,2384299,Dupla,1718
859,2384299,Dupla,1723
860,2384299,Municipal,1701
861,2396866,Municipal,1706
862,2399741,Municipal,1702
863,2399741,Municipal,1713
864,2399741,Municipal,1717
865,2399776,Municipal,1706
866,2402076,Dupla,1706
867,2402076,Dupla,1715
868,2402076,Estadual,1706
869,2402076,Estadual,1715
870,2402076,Estadual,1722
871,2407205,Dupla,1707
872,2407205,Municipal,1707
873,2409151,Dupla,1705
874,2409151,Dupla,1711
875,2409194,Dupla,1702
876,2409194,Dupla,1713
877,2409194,Dupla,1717
878,2409194,Dupla,1722
879,2410265,Dupla,1705
880,2410265,Dupla,1706
881,2410265,Dupla,1707
882,2410265,Dupla,1718
883,2410265,Municipal,1706
884,2410265,Municipal,1718
885,2427419,Estadual,1707
886,2427419,Estadual,1723
887,2427427,Dupla,1701
888,2427427,Dupla,1706
889,2427427,Estadual,1706
890,2427427,Estadual,1717
891,2427427,Estadual,1723
892,2430711,Dupla,1706
893,2430711,Estadual,1706
894,2430711,Municipal,1706
895,2430843,Estadual,1704
896,2436469,Dupla,1704
897,2436469,Dupla,1705
898,2436469,Dupla,1712
899,2436469,Municipal,1701
900,2436469,Municipal,1704
901,2436469,Municipal,1705
902,2436469,Municipal,1712
903,2436469,Municipal,1717
904,2436469,Municipal,1718
905,2439360,Municipal,1706
906,2439360,Municipal,1707
