CNES,TPGESTAO,SGRUPHAB
2232022,M,1701
2232022,M,1707
2232022,M,1718
2232022,M,1723
2232057,E,1705
2232057,E,1706
2232057,M,1706
2232995,D,1701
2232995,D,1707
2232995,D,1708
2232995,E,1707
2232995,E,1708
2232995,E,1723
2237253,M,1701
2237253,M,1713
2237253,M,1717
2237571,M,1701
2237571,M,1708
2237571,M,1709
2237571,M,1717
2237571,M,1723
2237601,M,1701
2237601,M,1713
2237601,M,1717
2237601,M,1719
2237601,M,1720
2237601,M,1723
2241021,E,1701
2241021,E,1706
2241021,M,1706
2241021,M,1707
2241021,M,1718
2241021,M,1723
2244306,D,1701
2244306,D,1707
2244306,D,1708
2244306,D,1709
2244306,E,1707
2244306,E,1708
2244306,E,1709
2244357,D,1706
2246929,D,1706
2246929,D,1708
2246929,D,1718
2246929,E,1706
2246929,E,1718
2246929,E,1723
2246988,D,1701
2246988,D,1704
2246988,D,1707
2246988,D,1708
2246988,D,1709
2246988,D,1717
2246988,E,1707
2246988,E,1708
2246988,E,1709
2246988,E,1717
2248190,D,1701
2248190,D,1707
2248190,E,1707
2248190,E,1723
2248204,D,1706
2248204,E,1706
2248204,E,1723
2252287,E,1701
2252287,E,1704
2252287,E,1707
2252287,E,1708
2252287,E,1718
2252287,M,1707
2252287,M,1708
2252287,M,1718
2252694,M,1705
2252694,M,1707
2252694,M,1708
2253054,M,1704
2253054,M,1707
2253054,M,1708
2253054,M,1723
2254611,M,1701
2254611,M,1707
2254611,M,1708
2254611,M,1723
2255936,M,1701
2255936,M,1706
2255936,M,1707
2255936,M,1718
2255936,M,1723
2259907,D,1706
2261057,D,1701
2261057,D,1712
2261057,D,1717
2261057,D,1718
2261057,E,1712
2261057,E,1717
2261057,E,1723
2261987,D,1706
2261987,E,1706
2261987,E,1707
2261987,E,1723
2262274,M,1701
2262274,M,1706
2262568,M,1701
2262568,M,1707
2262568,M,1708
2262568,M,1709
2262568,M,1717
2262568,M,1718
2262568,M,1723
2263858,D,1708
2263858,E,1708
2263858,E,1723
2265052,M,1701
2265052,M,1706
2265052,M,1718
2265052,M,1719
2265052,M,1720
2265052,M,1723
2266474,M,1701
2266474,M,1706
2268779,M,1704
2268779,M,1705
2268779,M,1706
2268779,M,1715
2269384,M,1701
2269384,M,1706
2269384,M,1723
2269422,M,1704
2269783,E,1707
2269783,E,1708
2269783,E,1718
2269783,M,1701
2269783,M,1707
2269783,M,1708
2269783,M,1718
2269821,M,1703
2269821,M,1706
2269821,M,1713
2269821,M,1717
2269880,M,1701
2269880,M,1706
2269880,M,1708
2269880,M,1723
2269899,E,1707
2269899,E,1718
2269899,M,1702
2269899,M,1707
2269899,M,1717
2269899,M,1718
2269988,M,1707
2269988,M,1708
2269988,M,1709
2269988,M,1723
2273454,M,1703
